Name,Position,Height,Weight,Academic Year,Hometown,Previous School,Year,School,From_US_State,Is_Transfer,Age
A.J.  Hoggard,G,75.0,220.0,Fr.,Pennsylvania,,2020,Michigan_State,True,False,18.0
Aaron Henry,F,78.0,210.0,Jr.,Indiana,,2020,Michigan_State,True,False,20.0
Aaron Wheeler,F,81.0,205.0,Jr.,Connecticut,,2020,Purdue,True,False,20.0
Aaron Wiggins,G,78.0,200.0,Jr.,North Carolina,,2020,Maryland,True,False,20.0
Abdou Tsimbila,F,80.0,235.0,Freshman,Cameroon,,2020,Penn_State,False,False,18.0
Abel Porter,G,75.0,200.0,R-Sr.,Utah,,2020,Ohio_State,True,False,22.0
Adam Miller,G,75.0,180.0,Fr.,Illinois,,2020,Illinois,True,False,18.0
Adrien Nunez,G,78.0,210.0,Jr.,New York,,2020,Michigan,True,False,20.0
Ahron Ulis,G,75.0,190.0,Fr.,Illinois,,2020,Iowa,True,False,18.0
Aidan  McCool,G,75.0,160.0,Fr.,South Carolina,,2020,Maryland,True,False,18.0
Aiden Terry,G,71.0,150.0,Fr.,Kentucky,,2020,Rutgers,True,False,18.0
Akol Arop,F,77.0,203.0,Sophomore,Nebraska,,2020,Nebraska,True,False,19.0
Aleem Ford,F,80.0,217.0,R-Sr.,Georgia,,2020,Wisconsin,True,False,22.0
Aljami Durham,G,76.0,185.0,Sr.,Georgia,,2020,Indiana,True,False,21.0
Andre Curbelo,G,73.0,175.0,Fr.,Puerto Rico,,2020,Illinois,False,False,18.0
Andy Christos,G,77.0,175.0,Freshman,New Jersey,,2020,Penn_State,True,False,18.0
Anthony Gaines,G,76.0,210.0,R-Jr.,New York,,2020,Northwestern,True,False,21.0
Anthony Leal,G,77.0,210.0,Fr.,Indiana,,2020,Indiana,True,False,18.0
Aquan  Smart,G,75.0,175.0,Fr.,Illinois,,2020,Maryland,True,False,18.0
Armaan Franklin,G,76.0,195.0,So.,Indiana,,2020,Indiana,True,False,19.0
Arnaud Revaz,F,82.0,215.0,Fr.,Switzerland,,2020,Maryland,False,False,18.0
Austin Ash,G,75.0,179.0,RS Jr.,Iowa,,2020,Iowa,True,False,21.0
Austin Davis,F,82.0,250.0,Gr.,Michigan,,2020,Michigan,True,False,23.0
Austin Hutcherson,G,78.0,180.0,R-Jr.,New York,,2020,Illinois,True,False,21.0
Ayo Dosunmu,G,77.0,200.0,Jr.,Illinois,,2020,Illinois,True,False,20.0
Ben Carlson,F,81.0,218.0,Fr.,Minnesota,,2020,Wisconsin,True,False,18.0
Benjamin Bosmans-Verdonk,F,80.0,235.0,R-Fr.,Belgium,,2020,Illinois,False,False,19.0
Boo Buie,G,74.0,180.0,So.,New York,,2020,Northwestern,True,False,19.0
Both Gach,G,78.0,185.0,Jr.,Minnesota,Arizona Compass Prep,2020,Minnesota,True,False,20.0
Brad Davison,G,76.0,202.0,Sr.,Minnesota,,2020,Wisconsin,True,False,21.0
Brandon Johns Jr.,F,80.0,240.0,Jr.,Michigan,,2020,Michigan,True,False,20.0
Brandon Johnson,F,80.0,220.0,R-Sr.,Illinois,Thea Bowman Leadership Academy,2020,Minnesota,True,False,22.0
Brandon Lieb,C,84.0,210.0,Fr.,Illinois,,2020,Illinois,True,False,18.0
Brandon Newman,G,77.0,195.0,R-Fr.,Indiana,,2020,Purdue,True,False,19.0
Brandon Wade,G,73.0,185.0,Jr.,Michigan,,2020,Michigan,True,False,20.0
Bret Porter,F,77.0,228.0,Redshirt Freshman,Nebraska,,2020,Nebraska,True,False,19.0
C.J. Baird,F,77.0,225.0,Sr.,Michigan,,2020,Michigan,True,False,21.0
CJ Fredrick,G,75.0,195.0,RS So.,Ohio,,2020,Iowa,True,False,20.0
CJ Walker,G,73.0,195.0,R-Sr.,Indiana,,2020,Ohio_State,True,False,22.0
Caleb Dorsey,F,79.0,230.0,Freshman,Maryland,,2020,Penn_State,True,False,18.0
Caleb McConnell,G,79.0,195.0,Jr.,Florida,,2020,Rutgers,True,False,20.0
Carson Barrett,G,77.0,215.0,Fr.,Indiana,,2020,Purdue,True,False,18.0
Carter Gilmore,F,79.0,215.0,Fr.,Wisconsin,,2020,Wisconsin,True,False,18.0
Carter Higginbottom,G,72.0,188.0,R-So.,Illinois,,2020,Wisconsin,True,False,20.0
Chase Audige,G,76.0,200.0,R-So.,New York,,2020,Northwestern,True,False,20.0
Chase Martin,G,75.0,195.0,Fr.,Missouri,,2020,Purdue,True,False,18.0
Chaundee Brown Jr.,G,77.0,215.0,Sr.,Florida,,2020,Michigan,True,False,21.0
Chol Marial,C,86.0,235.0,So.,South Sudan,,2020,Maryland,False,False,19.0
Chris McGraw,G,72.0,170.0,Sophomore,Ohio,,2020,Nebraska,True,False,19.0
Clifford Omoruyi,C,83.0,240.0,Fr.,Nigeria,,2020,Rutgers,False,False,18.0
Coleman Hawkins,F,82.0,215.0,Fr.,California,,2020,Illinois,True,False,18.0
Connor McCaffery,G/F,77.0,205.0,RS Jr.,Iowa,,2020,Iowa,True,False,21.0
Connor Serven,F,81.0,215.0,Fr.,Illinois,,2020,Illinois,True,False,18.0
Cooper Bybee,G,73.0,188.0,Sr.,Indiana,Olney Central,2020,Indiana,True,False,21.0
D'Mitrik Trice,G,72.0,184.0,R-Sr.,Ohio,,2020,Wisconsin,True,False,22.0
DJ Gordon,G,77.0,175.0,Freshman,Pennsylvania,,2020,Penn_State,True,False,18.0
Da'Monte Williams,G,75.0,215.0,Sr.,Illinois,,2020,Illinois,True,False,21.0
Dalano Banton,G,81.0,204.0,Sophomore,Ontario,,2020,Nebraska,False,False,19.0
Dallion Johnson,G,75.0,175.0,Freshman,Massachusetts,,2020,Penn_State,True,False,18.0
Daniel Lobach,F,79.0,210.0,Fr.,North Carolina,,2020,Rutgers,True,False,18.0
Darryl Morsell,G,77.0,200.0,Sr.,Maryland,,2020,Maryland,True,False,21.0
Davis Smith,G,73.0,185.0,Fr.,Georgia,,2020,Michigan_State,True,False,18.0
Dean Reiber,F,82.0,225.0,Fr.,North Carolina,,2020,Rutgers,True,False,18.0
Derrick Walker,F,80.0,232.0,Junior,Missouri,,2020,Nebraska,True,False,20.0
Dom Martinelli,G,76.0,200.0,Fy.,Illinois,,2020,Northwestern,True,False,18.0
Donta Scott,F,79.0,230.0,So.,Pennsylvania,,2020,Maryland,True,False,19.0
