School,Year,transfer_amount,mean_height,mean_weight,mean_age,Conference Win,Conference Lose,Overall Win,Overall Lose,conf_win_rate
Illinois,2021,2,78.75,215.625,20.25,15,5,23,10,0.75
Illinois,2022,2,78.35714285714286,204.64285714285714,19.571428571428573,11,9,20,13,0.55
Illinois,2023,6,77.13333333333334,205.66666666666666,20.8,14,6,29,9,0.7
Indiana,2021,2,77.47058823529412,209.0,20.352941176470587,9,11,21,14,0.45
Indiana,2022,2,78.29411764705883,214.94117647058823,20.529411764705884,12,8,23,12,0.6
Indiana,2023,5,77.76470588235294,206.52941176470588,19.941176470588236,10,10,19,14,0.5
Iowa,2021,1,77.6923076923077,212.69230769230768,19.933333333333334,12,8,26,10,0.6
Iowa,2022,2,77.46666666666667,207.93333333333334,20.285714285714285,11,9,19,14,0.55
Iowa,2023,2,77.9375,211.8125,20.333333333333332,10,10,19,15,0.5
Maryland,2021,6,77.93333333333334,205.0,20.2,7,13,15,17,0.35
Maryland,2022,7,78.0,201.0625,20.625,11,9,22,13,0.55
Maryland,2023,5,78.06666666666666,204.0,19.866666666666667,7,13,16,17,0.35
Michigan,2021,1,78.1875,211.25,19.8125,11,9,19,15,0.55
Michigan,2022,4,78.375,212.5,19.625,11,9,18,16,0.55
Michigan,2023,6,77.93333333333334,213.33333333333334,20.866666666666667,3,17,8,24,0.15
Michigan_State,2021,2,77.5,208.61111111111111,20.166666666666668,11,9,23,13,0.55
Michigan_State,2022,2,76.42857142857143,201.07142857142858,20.357142857142858,11,8,21,13,0.5789473684210527
Michigan_State,2023,1,76.33333333333333,202.33333333333334,20.266666666666666,10,10,20,15,0.5
Minnesota,2021,9,78.06666666666666,202.33333333333334,20.8,4,16,13,17,0.2
Minnesota,2022,6,79.0,211.42857142857142,19.785714285714285,2,17,9,22,0.1052631578947368
Minnesota,2023,6,78.66666666666667,213.66666666666666,20.2,9,11,19,15,0.45
Nebraska,2021,2,77.26315789473684,199.31578947368422,19.263157894736842,4,16,10,22,0.2
Nebraska,2022,5,77.58823529411765,206.7058823529412,19.41176470588235,9,11,16,16,0.45
Nebraska,2023,7,77.76470588235294,210.64705882352942,20.11764705882353,12,8,23,11,0.6
Northwestern,2021,1,77.61538461538461,204.23076923076923,20.46153846153846,7,13,15,16,0.35
Northwestern,2022,1,78.07692307692308,205.76923076923077,20.307692307692307,12,8,22,12,0.6
Northwestern,2023,3,78.14285714285714,206.78571428571428,20.214285714285715,12,8,22,12,0.6
Ohio_State,2021,1,77.5,205.16666666666666,21.2,12,8,20,12,0.6
Ohio_State,2022,4,77.85714285714286,208.57142857142858,20.071428571428573,5,15,16,19,0.25
Ohio_State,2023,3,78.0,208.0,19.733333333333334,9,11,22,14,0.45
Penn_State,2021,6,76.6,206.06666666666666,21.066666666666666,7,13,14,17,0.35
Penn_State,2022,4,76.875,210.5625,20.8125,10,10,23,14,0.5
Penn_State,2023,9,77.93333333333334,203.33333333333334,20.933333333333334,9,11,16,17,0.45
Purdue,2021,0,77.875,209.0625,19.8125,14,6,29,8,0.7
Purdue,2022,1,78.6875,215.625,19.8125,15,5,29,6,0.75
Purdue,2023,1,78.29411764705883,210.58823529411765,20.058823529411764,17,3,34,5,0.85
Rutgers,2021,2,78.25,214.25,20.0625,12,8,18,14,0.6
Rutgers,2022,2,77.93333333333334,208.33333333333334,20.466666666666665,10,10,19,15,0.5
Rutgers,2023,6,77.11764705882354,203.58823529411765,20.647058823529413,7,13,15,17,0.35
Wisconsin,2021,3,78.05882352941177,215.0,19.470588235294116,15,5,25,8,0.75
Wisconsin,2022,4,77.0625,205.0,19.6875,9,11,20,15,0.45
Wisconsin,2023,4,77.94444444444444,209.05555555555554,19.77777777777778,11,9,22,14,0.55
