Name,Position,Height,Weight,Academic Year,Hometown,Previous School,Year,School,From_US_State,Is_Transfer,Age,G,MP,OWS,DWS,WS,WS/40,MPG
A.J. Hoggard,G,75.0,220.0,Fr.,Pennsylvania,,2020,Michigan_State,True,False,18.0,26.0,344.0,-0.3,0.4,0.1,0.007,13.23076923076923
Aaron Henry,F,78.0,210.0,Jr.,Indiana,,2020,Michigan_State,True,False,20.0,28.0,910.0,1.5,1.2,2.7,0.119,32.5
Aaron Wheeler,F,81.0,205.0,Jr.,Connecticut,,2020,Purdue,True,False,20.0,28.0,512.0,0.3,0.9,1.3,0.098,18.285714285714285
Aaron Wiggins,G,78.0,200.0,Jr.,North Carolina,,2020,Maryland,True,False,20.0,31.0,1023.0,2.1,1.6,3.7,0.145,33.0
Abdou Tsimbila,F,80.0,235.0,Freshman,Cameroon,,2020,Penn_State,False,False,18.0,16.0,73.0,0.0,0.1,0.2,0.094,4.5625
Abel Porter,G,75.0,200.0,R-Sr.,Utah,,2020,Ohio_State,True,False,22.0,,,,,,,
Adam Miller,G,75.0,180.0,Fr.,Illinois,,2020,Illinois,True,False,18.0,31.0,792.0,0.8,1.2,2.0,0.1,25.548387096774192
Adrien Nunez,G,78.0,210.0,Jr.,New York,,2020,Michigan,True,False,20.0,10.0,34.0,0.0,0.0,0.0,0.049,3.4
Ahron Ulis,G,75.0,190.0,Fr.,Illinois,,2020,Iowa,True,False,18.0,17.0,119.0,0.4,0.1,0.4,0.142,7.0
Aidan McCool,G,75.0,160.0,Fr.,South Carolina,,2020,Maryland,True,False,18.0,2.0,3.0,0.0,0.0,0.0,0.649,1.5
Aiden Terry,G,71.0,150.0,Fr.,Kentucky,,2020,Rutgers,True,False,18.0,1.0,2.0,0.0,0.0,0.0,0.104,2.0
Akol Arop,F,77.0,203.0,Sophomore,Nebraska,,2020,Nebraska,True,False,19.0,,,,,,,
Aleem Ford,F,80.0,217.0,R-Sr.,Georgia,,2020,Wisconsin,True,False,22.0,31.0,818.0,1.0,1.2,2.3,0.111,26.387096774193548
Aljami Durham,G,76.0,185.0,Sr.,Georgia,,2020,Indiana,True,False,21.0,26.0,845.0,1.5,0.7,2.2,0.105,32.5
Andre Curbelo,G,73.0,175.0,Fr.,Puerto Rico,,2020,Illinois,False,False,18.0,31.0,668.0,1.2,1.3,2.6,0.154,21.548387096774192
Andy Christos,G,77.0,175.0,Freshman,New Jersey,,2020,Penn_State,True,False,18.0,,,,,,,
Anthony Gaines,G,76.0,210.0,R-Jr.,New York,,2020,Northwestern,True,False,21.0,24.0,499.0,0.4,0.7,1.1,0.089,20.791666666666668
Anthony Leal,G,77.0,210.0,Fr.,Indiana,,2020,Indiana,True,False,18.0,20.0,232.0,0.1,0.3,0.3,0.056,11.6
Aquan Smart,G,75.0,175.0,Fr.,Illinois,,2020,Maryland,True,False,18.0,22.0,160.0,-0.2,0.2,-0.1,-0.013,7.272727272727272
Armaan Franklin,G,76.0,195.0,So.,Indiana,,2020,Indiana,True,False,19.0,22.0,662.0,0.7,0.9,1.6,0.094,30.09090909090909
Arnaud Revaz,F,82.0,215.0,Fr.,Switzerland,,2020,Maryland,False,False,18.0,5.0,16.0,-0.1,0.0,0.0,-0.085,3.2
Austin Ash,G,75.0,179.0,RS Jr.,Iowa,,2020,Iowa,True,False,21.0,9.0,21.0,0.1,0.0,0.1,0.179,2.333333333333333
Austin Davis,F,82.0,250.0,Gr.,Michigan,,2020,Michigan,True,False,23.0,23.0,257.0,0.8,0.4,1.3,0.196,11.173913043478262
Austin Hutcherson,G,78.0,180.0,R-Jr.,New York,,2020,Illinois,True,False,21.0,,,,,,,
Ayo Dosunmu,G,77.0,200.0,Jr.,Illinois,,2020,Illinois,True,False,20.0,28.0,984.0,3.3,1.8,5.1,0.207,35.142857142857146
Ben Carlson,F,81.0,218.0,Fr.,Minnesota,,2020,Wisconsin,True,False,18.0,7.0,64.0,0.2,0.1,0.3,0.195,9.142857142857142
Benjamin Bosmans-Verdonk,F,80.0,235.0,R-Fr.,Belgium,,2020,Illinois,False,False,19.0,8.0,18.0,0.0,0.0,0.0,0.0,2.25
Boo Buie,G,74.0,180.0,So.,New York,,2020,Northwestern,True,False,19.0,24.0,646.0,0.8,0.6,1.4,0.084,26.916666666666668
Both Gach,G,78.0,185.0,Jr.,Minnesota,Arizona Compass Prep,2020,Minnesota,True,False,20.0,29.0,657.0,0.4,0.7,1.1,0.066,22.655172413793103
Brad Davison,G,76.0,202.0,Sr.,Minnesota,,2020,Wisconsin,True,False,21.0,31.0,960.0,1.7,1.4,3.1,0.129,30.967741935483872
